Mağaza;Ürün;Link
Nike;Top;https://www.nike.com
Nike;Ayakkabı;https://www.nike.com
Nike;Forma;https://www.nike.com
Nike;Bilgi Yok;https://www.nike.com
MediaMarkt;Televizyon;https://www.mediamarkt.com
MediaMarkt;Laptop;https://www.mediamarkt.com
MediaMarkt;Akıllı Telefon;https://www.mediamarkt.com
MediaMarkt;Bilgi Yok;https://www.mediamarkt.com
Adidas;Spor Ayakkabı;https://www.adidas.com
Adidas;Eşofman Takımı;https://www.adidas.com
Adidas;Koşu Bandı;https://www.adidas.com
Adidas;Bilgi Yok;https://www.adidas.com
Apple;iPhone;https://www.apple.com
Apple;MacBook;https://www.apple.com
Apple;iPad;https://www.apple.com
Apple;Apple Watch;https://www.apple.com
Samsung;Galaxy Telefon;https://www.samsung.com
Samsung;QLED TV;https://www.samsung.com
Samsung;Akıllı Saat;https://www.samsung.com
Samsung;Tablet;https://www.samsung.com
Zara;T-Shirt;https://www.zara.com
Zara;Pantolon;https://www.zara.com
Zara;Mont;https://www.zara.com
H&M;Gömlek;https://www.hm.com
H&M;Elbise;https://www.hm.com
H&M;Şapka;https://www.hm.com
Sony;PlayStation;https://www.sony.com
Sony;Kamera;https://www.sony.com
Sony;Kulaklık;https://www.sony.com
IKEA;Koltuk;https://www.ikea.com
IKEA;Masa;https://www.ikea.com
IKEA;Yatak;https://www.ikea.com
IKEA;Bilgi Yok;https://www.ikea.com
Decathlon;Bisiklet;https://www.decathlon.com
Decathlon;Çadır;https://www.decathlon.com
Decathlon;Koşu Ayakkabısı;https://www.decathlon.com
Migros;Gıda;https://www.migros.com
Migros;Elektronik;https://www.migros.com
Migros;Temizlik Ürünleri;https://www.migros.com
